mi|Xelaev18004398m.g|	 kmt2a.S
mi|Xelaev18002816m.g|	 loc100488028-like.L
mi|Xelaev18038220m.g|	 zmynd19.L
mi|Xelaev18041471m.g|	 Xelaev18041471m.g
mi|Xelaev18047579m.g|	 unkl.S
mi|Xelaev18046170m.g|	 Xelaev18046170m.g
mi|Xelaev18030691m.g|	 ncapg2.L
mi|Xelaev18046285m.g|	 znf329.S
mi|Xelaev18042375m.g|	 nova2.S
mi|Xelaev18025110m.g|	 wdr78.S
mi|Xelaev18035392m.g|	 cbl.L
mi|Xelaev18012951m.g|	 il18rap.L
mi|Xelaev18015803m.g|	 nr4a1.S
mi|Xelaev18033572m.g|	 rnmt.S
mi|Xelaev18047162m.g|	 gad1.1.S
mi|Xelaev18017782m.g|	 lrrc17.L
mi|Xelaev18034564m.g|	 dpysl4.L
mi|Xelaev18026200m.g|	 Xelaev18026200m.g
mi|Xelaev18036567m.g|	 fbl.L
mi|Xelaev18006396m.g|	 Xelaev18006396m.g
mi|Xelaev18028850m.g|	 Xelaev18028850m.g
mi|Xelaev18007678m.g|	 pi4ka.L
mi|Xelaev18032599m.g|	 Xelaev18032599m.g
mi|Xelaev18003292m.g|	 Xetrov90006818m.L
mi|Xelaev18025864m.g|	 h1foo.S
mi|Xelaev18034744m.g|	 Xelaev18034744m.g
mi|Xelaev18030417m.g|	 Xelaev18030417m.g
mi|Xelaev18010332m.g|	 aplnr.S
mi|Xelaev18030459m.g|	 Xelaev18030459m.g
mi|Xelaev18022620m.g|	 Xelaev18022620m.g
mi|Xelaev18043012m.g|	 efna1.S
mi|Xelaev18035480m.g|	 colca2.L
mi|Xelaev18037913m.g|	 Xelaev18037913m.g
mi|Xelaev18047531m.g|	 tmc7.S
mi|Xelaev18000896m.g|	 hes7.1.S
mi|Xelaev18042271m.g|	 fam46d.S
mi|Xelaev18002732m.g|	 Xelaev18002732m.g
mi|Xelaev18034823m.g|	 Xelaev18034823m.g
mi|Xelaev18015991m.g|	 Xelaev18015991m.g
mi|Xelaev18004690m.g|	 Xelaev18004690m.g
mi|Xelaev18034132m.g|	 loc100497460.S
mi|Xelaev18023927m.g|	 cav3.1.L
mi|Xelaev18045884m.g|	 loc100491563.S
mi|Xelaev18029527m.g|	 Xelaev18029527m.g
mi|Xelaev18012922m.g|	 Xelaev18012922m.g
mi|Xelaev18017806m.g|	 sema3a.L
mi|Xelaev18000718m.g|	 Xelaev18000718m.g
mi|Xelaev18046638m.g|	 Xelaev18046638m.g
mi|Xelaev18022304m.g|	 loc100485199-like.L
mi|Xelaev18028474m.g|	 pus10.S
mi|Xelaev18038295m.g|	 Xelaev18038295m.g
mi|Xelaev18046602m.g|	 dhx35.S
mi|Xelaev18041232m.g|	 psmc6.S
mi|Xelaev18030710m.g|	 pfkp.L
mi|Xelaev18005343m.g|	 fam149a.L
mi|Xelaev18047268m.g|	 mlph.S
mi|Xelaev18045897m.g|	 smarce1.S
mi|Xelaev18016936m.g|	 ctnna1.L
mi|Xelaev18024038m.g|	 Xelaev18024038m.g
mi|Xelaev18039932m.g|	 insm2.L
mi|Xelaev18018197m.g|	 fam214a.L
mi|Xelaev18018025m.g|	 adpgk.L
mi|Xelaev18039369m.g|	 psmd8.L
