gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|1000110|gb|AAA92501|	 melatonin receptor [Xenopus laevis]
gi|1000406|gb|AAB34773|	 xCRABP=cellular retinoic acid binding protein [Xenopus laevis, stage 22/24 embryos, Peptide, 147 aa]
gi|1000735|gb|AAA84444|	 glycogen synthase kinase 3 beta [Xenopus laevis]
gi|1002541|gb|AAA85270|	 homeobox protein [Xenopus laevis]
gi|1002598|gb|AAB01680|	 Cdc21 [Xenopus laevis]
gi|10039353|gb|BAB13345|	 50 kD glycoprotein [Xenopus laevis]
gi|1004330|gb|CAA89218|	 Xrel2 protein [Xenopus laevis]
gi|10045020|gb|CAC07793|	 unnamed protein product [Xenopus laevis]
gi|1008046|gb|BAA09124|	 cytochrome P-450 [Xenopus laevis]
gi|1008540|gb|AAA78933|	 encodes basic helix-loop-helix domain [Xenopus laevis]
gi|1008906|gb|AAA79009|	 homeobox-containing protein [Xenopus laevis]
gi|10129814|gb|CAC08235|	 Na,K-ATPase beta-2 subunit [Xenopus laevis]
gi|1016649|gb|AAC59725|	 XICL [Xenopus laevis]
gi|1016651|gb|AAC59904|	 XEEK1 [Xenopus laevis]
gi|1016758|gb|AAA91456|	 transcription factor A [Xenopus laevis]
gi|1017724|gb|AAC59863|	 BTEB [Xenopus laevis]
gi|1017726|gb|AAC59864|	 BTEB [Xenopus laevis]
gi|1017761|gb|AAA79185|	 hairy1 [Xenopus laevis]
gi|1017791|gb|AAA79194|	 centrin [Xenopus laevis]
gi|10185807|gb|AAG14450|	 Bar homeobox protein XBH1 [Xenopus laevis]
gi|10185809|gb|AAG14451|	 Bar homeobox protein XBH2 [Xenopus laevis]
gi|10185812|gb|AAG14452|	 homeobox protein XHox11L2 [Xenopus laevis]
gi|10185814|gb|AAG14453|	 homeobox protein XHox11 [Xenopus laevis]
gi|1019099|gb|CAA62344|	 sodium-calcium exchanger [Xenopus laevis]
gi|1019101|gb|CAA62345|	 sodium-calcium exchanger [Xenopus laevis]
gi|1019113|gb|AAC59716|	 MYT1 kinase [Xenopus laevis]
gi|1019674|gb|AAA79290|	 homeobox [Xenopus laevis]
gi|10197481|gb|BAB13695|	 aldolase B [Xenopus laevis]
gi|10197483|gb|BAB13696|	 aldolase B [Xenopus laevis]
gi|10242336|gb|AAG15383|	 homeodomain transcription factor Pitx-3 [Xenopus laevis]
gi|102621855|gb|ABF71072|	 hypoxia inducible factor 1 alpha [Xenopus laevis]
gi|10280605|gb|AAG15429|	 LDL receptor-related protein 6 [Xenopus laevis]
gi|102991831|gb|ABF71466|	 zinc-finger protein NOA 36 [Xenopus laevis]
gi|1030718|gb|BAA08371|	 Xenopus Bf B [Xenopus laevis]
gi|10336599|gb|BAB13800|	 follistatin-related protein [Xenopus laevis]
gi|103485131|gb|ABF71729|	 insulin-like growth factor-binding protein-like [Xenopus laevis]
gi|103485133|gb|ABF71730|	 Mig30 [Xenopus laevis]
gi|103485135|gb|ABF71731|	 insulin-like growth factor-binding protein-like [Xenopus laevis]
gi|104019|gb|F33282|	 DNA-binding protein (clone XLcGF 48.2) - African clawed frog (fragment)
gi|104089|gb|S04845|	 Ig heavy chain precursor - African clawed frog (fragment)
gi|104090|gb|S22554|	 Ig heavy chain V region (family IV) - African clawed frog
gi|104091|gb|S22558|	 Ig heavy chain V region (family IX) - African clawed frog
gi|104092|gb|S22556|	 Ig heavy chain V region (family V) - African clawed frog
gi|104093|gb|S22555|	 Ig heavy chain V region (family VI) - African clawed frog
gi|104094|gb|S22557|	 Ig heavy chain V-VII region - African clawed frog
gi|104095|gb|S22559|	 Ig heavy chain V region (family VIII) - African clawed frog
gi|104096|gb|S22552|	 Ig heavy chain V region (family X) - African clawed frog
gi|104097|gb|S22553|	 Ig heavy chain V region (family XI) - African clawed frog
gi|104098|gb|S10061|	 Ig heavy chain (clone J12) - African clawed frog (fragment)
gi|104101|gb|S03533|	 Ig heavy chain J region (JH-6) - African clawed frog
gi|104102|gb|S03532|	 Ig heavy chain J region (JH-7) - African clawed frog
gi|104103|gb|S03531|	 Ig heavy chain J5 region - African clawed frog
gi|104104|gb|S03530|	 Ig heavy chain J region (JH-4) - African clawed frog
gi|104106|gb|S03528|	 Ig heavy chain J1 region - African clawed frog
gi|104109|gb|S03527|	 Ig heavy chain precursor V-II region - African clawed frog
gi|104110|gb|A33989|	 Ig heavy chain V-1-D-J region - African clawed frog
gi|104111|gb|B33989|	 Ig heavy chain V-2-D-J region - African clawed frog
gi|104112|gb|C33989|	 Ig heavy chain V-3-D-J region - African clawed frog
gi|104113|gb|D33989|	 Ig heavy chain V-4-D-J region - African clawed frog
gi|104114|gb|E33989|	 Ig heavy chain V-5-D-J region - African clawed frog
gi|104115|gb|S14076|	 Ig kappa chain - African clawed frog
gi|104116|gb|S14077|	 Ig kappa chain - African clawed frog
gi|1041181|gb|BAA08779|	 glutamine synthetase [Xenopus laevis]
gi|104132|gb|S10926|	 inhibin beta-A chain - African clawed frog (fragment)
gi|104162166|gb|BAE94917|	 ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Xenopus laevis]
gi|1042005|gb|AAB34946|	 negative regulatory element Id1 isoform a [Xenopus laevis]
gi|104233|gb|S10626|	 lipovitellin - African clawed frog
gi|104234|gb|S10624|	 lipovitellin - African clawed frog
gi|10441006|gb|AAG16900|	 4g2 [Xenopus laevis]
gi|10441360|gb|AAG17008|	 class IV POU-homeodomain protein [Xenopus laevis]
gi|10441411|gb|AAG17026|	 transcription factor Sox4 [Xenopus laevis]
gi|10442648|gb|AAG17404|	 homeobox protein Nkx2-4 [Xenopus laevis]
gi|10442650|gb|AAG17405|	 homeobox transcription factor Nkx2-1 [Xenopus laevis]
gi|10443730|gb|AAG17553|	 natriuretic peptide receptor type C NPR-C [Xenopus laevis]
gi|10443732|gb|AAG17554|	 calcium/calmodulin-dependent protein kinase II delta12 subunit [Xenopus laevis]
gi|10443734|gb|AAG17555|	 calcium/calmodulin-dependent protein kinase II gamma J subunit [Xenopus laevis]
gi|10443736|gb|AAG17556|	 calcium/calmodulin-dependent protein kinase II gamma K subunit [Xenopus laevis]
gi|10443738|gb|AAG17557|	 calcium/calmodulin-dependent protein kinase II gamma L subunit [Xenopus laevis]
