ID	XL_ID	XL_ID_source	XENLA_XenBase_GeneNames	XENLA_GenBank_Description	HUMAN_UniProtID	HUMAN_GeneNames_Primary	HUMAN_GeneNames_Synonyms	eggNOG_annotation
ENOG411CP4H	147900947, 148234038, Xelaev18032454m.g, Xelaev18022738m.g, Xelaev18001948m.g	GenBank, Xenbase_9.1	NA, rhpn1.L, rhpn2.L, rhpn2.S	rhophilin-2-A [Xenopus laevis], rhophilin-2-B [Xenopus laevis], NA	A8MT19, Q8IUC4, Q8TCX5	RHPN2P1, RHPN2, RHPN1	NA, KIAA1929	Rhophilin, Rho GTPase binding protein
ENOG411CP4I	Xelaev18007983m.g, Xelaev18010760m.g	Xenbase_9.1	arl14epl.L, arl14epl.S	"NA"	P0DKL9	ARL14EPL	"NA"	ADP-ribosylation factor-like 14 effector protein-like
ENOG411CP4J	148222862, 186695397, 47938732, Xelaev18042616m.g, Xelaev18038111m.g, Xelaev18002773m.g, Xelaev18039829m.g, Xelaev18038466m.g, Xelaev18038465m.g, Xelaev18007037m.g, Xelaev18044232m.g, Xelaev18039828m.g, Xelaev18041882m.g, Xelaev18010230m.g, Xelaev18046618m.g, Xelaev18043941m.g, Xelaev18038110m.g, Xelaev18042617m.g	GenBank, Xenbase_9.1	NA, myh1-2-1.S, myh1-2-1.L, Xelaev18002773m.g, myh8-like.L, myh1-3-1.L, myh1-3-2.L, myh7.L, Xetrov90025700m.L, Xelaev18039828m.g, myh1-3-1.S, myh7.S, myh7B.S, myh7B.L, myh1-2-2.L, myh1-2-2.S	myosin, heavy polypeptide 15 [Xenopus laevis], laryngeal-specific muscle myosin heavy chain [Xenopus laevis], LOC432231 protein [Xenopus laevis], NA	P11055, A7E2Y1	MYH3, MYH7B	NA, KIAA1512	myosin, heavy chain
ENOG411CP4K	Xelaev18016680m.g, Xelaev18018317m.g, Xelaev18019750m.g	Xenbase_9.1	loc101733025.L, loc101732256-like.L, loc101733025.S	"NA"	Q3SXP7	SHISAL1	KIAA1644	kiaa1644
ENOG411CP4M	147904160, 148226122, 416403, 950189, Xelaev18011559m.g, Xelaev18029854m.g, Xelaev18005896m.g, Xelaev18014250m.g, Xelaev18009565m.g	GenBank, Xenbase_9.1	NA, epha3.L, epha4.S, Xelaev18005896m.g, epha3.S, epha5.S	ephrin type-A receptor 4-B [Xenopus laevis], ephrin type-A receptor 4-A precursor [Xenopus laevis], receptor tyrosine kinase [Xenopus laevis], XE10 [Xenopus laevis], NA	P54756, P29320, P54764	EPHA5, EPHA3, EPHA4	BSK EHK1 HEK7 TYRO4, ETK ETK1 HEK TYRO4, HEK8 SEK TYRO1	Eph receptor
ENOG411CP4N	Xelaev18045147m.g	Xenbase_9.1	txndc11.L	"NA"	Q6PKC3	TXNDC11	EFP1	thioredoxin domain containing 11
ENOG411CP4Q	55391428, 83318270, Xelaev18041050m.g, Xelaev18026628m.g, Xelaev18028848m.g, Xelaev18039933m.g	GenBank, Xenbase_9.1	NA, ralgapa1.S, ralgapa2.L, ralgapa2.S, ralgapa1.L	LOC495705 protein [Xenopus laevis], Unknown (protein for IMAGE:6635590) [Xenopus laevis], NA	Q6GYQ0, Q2PPJ7	RALGAPA1, RALGAPA2	GARNL1 KIAA0884 TULIP1, C20orf74 KIAA1272	Ral GTPase activating protein, alpha subunit
ENOG411CP4R	148234941, Xelaev18031896m.g	GenBank, Xenbase_9.1	NA, usp14.L	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) [Xenopus laevis], NA	P54578	USP14	TGT	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)
ENOG411CP4S	148231778, Xelaev18025705m.g, Xelaev18023704m.g	GenBank, Xenbase_9.1	NA, gcat.S, gcat.L	glycine C-acetyltransferase [Xenopus laevis], NA	O75600	GCAT	KBL	Glycine C-acetyltransferase
ENOG411CP4T	114107812, Xelaev18006589m.g	GenBank, Xenbase_9.1	NA, haus8.L	MGC154317 protein [Xenopus laevis], NA	Q9BT25	HAUS8	HICE1	HAUS augmin-like complex, subunit 8
ENOG411CP4U	148222806, 28277299, Xelaev18031056m.g, Xelaev18033124m.g	GenBank, Xenbase_9.1	NA, top2b-like.L, top2b-like.S	topoisomerase (DNA) II alpha 170kDa [Xenopus laevis], LOC398512 protein [Xenopus laevis], NA	Q02880, P11388	TOP2B, TOP2A	NA, TOP2	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks (By similarity)
ENOG411CP4V	120577623, Xelaev18024202m.g, Xelaev18022257m.g, Xelaev18040030m.g	GenBank, Xenbase_9.1	NA, ganab.S, ganab.L, ganc.L	LOC100037025 protein [Xenopus laevis], NA	A0A1W2PQD3, Q8TET4, Q14697	NA, GANC, GANAB	NA, G2AN KIAA0088	Glucosidase, alpha
ENOG411CP4W	Xelaev18021204m.g, Xelaev18017511m.g	Xenbase_9.1	xpot.S, xpot.L	"NA"	O43592	XPOT	"NA"	exportin, tRNA
ENOG411CP4Y	Xelaev18022741m.g, Xelaev18001949m.g	Xenbase_9.1	loc100494811.L, loc100494811.S	"NA"	NA	NA	NA	ring finger protein 182
ENOG411CP4Z	147900466, 147903205, 24209779, 24209781	GenBank	"NA"	uncharacterized protein LOC379647 [Xenopus laevis], pygopus-2beta [Xenopus laevis], pygopus-2alpha [Xenopus laevis]	Q9BRQ0	PYGO2	"NA"	Pygopus homolog 2 (Drosophila)
ENOG411CP50	147906170	GenBank	"NA"	PX domain containing serine/threonine kinase [Xenopus laevis]	Q7Z7A4	PXK	"NA"	PX domain containing serine threonine kinase
